Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Yelahanka Satellite Town,"1,69,746","1,68,473","1,20,260","96,807","95,135","61,324",99.30%,71.40%,80.50%,98.30%,"33,788",35.50%,36.10%,"₹98,08,967",8.69,₹149.50,"5,77,463",13.0889472,77.58785284691349
Anjanapura,"1,81,644","1,79,006","1,35,191","91,485","88,729","60,694",98.60%,75.50%,67.70%,97.00%,"28,021",31.60%,33.40%,"₹91,40,657",8.31,₹144.46,"5,31,947",12.8580811,77.5580713
Jayachamarajendra  Nagar,"1,67,767","1,66,630","1,30,339","90,839","89,181","60,216",99.30%,78.20%,69.70%,98.20%,"28,949",32.50%,35.90%,"₹78,87,322",6.65,₹120.71,"4,47,086",13.0156002,77.58771609804788
Jayamahal,"1,99,847","1,98,600","1,54,332","96,533","95,354","57,697",99.40%,77.70%,62.50%,98.80%,"37,629",39.50%,28.90%,"₹81,78,556",7.08,₹130.82,"4,49,166",12.9988116,77.5975789
Shettihalli,"1,72,369","1,70,961","1,21,801","87,975","86,145","56,658",99.20%,71.20%,72.20%,97.90%,"29,465",34.20%,32.90%,"₹76,92,274",7.57,₹131.12,"4,50,388",12.7528354,77.7305926
Lakkasandra,"2,44,683","2,42,974","2,02,937","96,480","94,954","56,502",99.30%,83.50%,47.50%,98.40%,"38,431",40.50%,23.10%,"₹73,61,671",6.97,₹126.23,"4,13,147",12.9432228,77.5997061
Dattatreya Temple,"1,39,810","1,38,323","1,04,347","81,795","80,384","56,306",98.90%,75.40%,78.40%,98.30%,"24,051",29.90%,40.30%,"₹70,92,611",6.58,₹118.04,"4,04,266",12.9976348,77.57487767705354
Medahalli,"2,10,416","2,08,912","1,60,872","89,864","88,720","56,103",99.30%,77.00%,55.90%,98.70%,"32,596",36.70%,26.70%,"₹95,02,663",8.86,₹157.11,"5,52,030",13.0278454,77.7206079
K R Puram,"2,46,849","2,45,151","1,81,931","96,758","95,586","55,788",99.30%,74.20%,53.20%,98.80%,"39,775",41.60%,22.60%,"₹87,30,663",8.15,₹144.68,"5,01,154",13.01627075,77.70324106561758
Garudachar Playa,"2,33,812","2,32,336","1,91,372","97,957","96,448","55,750",99.40%,82.40%,51.20%,98.50%,"40,674",42.20%,23.80%,"₹90,38,348",8.3,₹147.09,"5,10,788",,
Katriguppe,"1,36,402","1,35,253","1,00,769","81,074","79,166","55,446",99.20%,74.50%,80.50%,97.60%,"23,701",29.90%,40.60%,"₹64,75,234",6.52,₹117.47,"3,66,779",12.9280952,77.5488835
Devarachikkanahalli,"2,26,563","2,24,459","1,81,209","88,766","87,174","55,262",99.10%,80.70%,49.00%,98.20%,"31,900",36.60%,24.40%,"₹83,43,832",8.29,₹147.16,"4,75,621",12.879114170668498,77.60988724770755
